user,course,period,messages,acad_year,.modules
id115,A,Y2P14,11,2020-2021,1
id116,B,Y1P13,6,2019-2020,1
id117,B,Y1P12,18,2019-2020,1
id117,B,Y1P13,2,2019-2020,1
id118,B,Y1P14,2,NA,0
id122,A,Y2P05,16,2020-2021,2
id122,A,Y2P06,13,2020-2021,2
id122,A,Y2P07,3,NA,0
id122,A,Y2P08,1,NA,0
id122,A,Y2P09,6,2020-2021,2
id122,A,Y2P10,6,2020-2021,3
id122,A,Y2P11,2,2020-2021,2
id122,A,Y2P12,4,NA,0
id122,A,Y2P13,3,2020-2021,2
id122,A,Y2P14,12,2020-2021,1
id123,B,Y1P13,43,2019-2020,1
id123,B,Y1P14,2,NA,0
id125,B,Y1P13,75,2019-2020,1
id125,B,Y1P14,8,NA,0
id127,B,Y1P13,2,2019-2020,1
id128,B,Y1P13,1,2019-2020,1
id128,B,Y1P14,1,NA,0
id129,B,Y1P12,2,2019-2020,1
id129,B,Y1P13,5,2019-2020,1
id130,B,Y1P13,30,2019-2020,1
id132,B,Y1P13,21,2019-2020,1
id132,B,Y1P14,3,NA,0
id135,B,Y1P13,2,2019-2020,1
id139,B,Y1P12,1,2019-2020,1
id139,B,Y1P13,32,2019-2020,1
id139,B,Y1P14,3,NA,0
id140,A,Y2P04,25,2020-2021,2
id140,A,Y2P05,12,2020-2021,2
id140,A,Y2P06,8,2020-2021,2
id140,A,Y2P07,39,NA,0
id140,A,Y2P08,2,NA,0
id140,A,Y2P09,5,2020-2021,2
id140,A,Y2P10,9,2020-2021,3
id140,A,Y2P11,9,2020-2021,2
id140,A,Y2P12,39,NA,0
id140,A,Y2P13,35,2020-2021,2
id140,A,Y2P15,5,NA,0
id141,A,Y2P02,3,2020-2021,2
id141,A,Y2P04,2,2020-2021,2
id141,A,Y2P05,2,2020-2021,2
id143,A,Y1P12,30,2019-2020,1
id143,A,Y1P13,39,2019-2020,1
id143,A,Y1P14,26,NA,0
id144,A,Y1P12,3,2019-2020,1
id144,A,Y1P14,8,NA,0
id144,A,Y2P05,2,2020-2021,2
id144,A,Y2P07,2,NA,0
id144,A,Y2P08,1,NA,0
id144,A,Y2P09,1,2020-2021,2
id144,A,Y2P11,1,2020-2021,2
id145,A,Y2P03,57,2020-2021,2
id145,A,Y2P04,64,2020-2021,2
id145,A,Y2P05,82,2020-2021,2
id145,A,Y2P06,40,2020-2021,2
id145,A,Y2P08,5,NA,0
id145,A,Y2P10,29,2020-2021,3
id145,A,Y2P11,9,2020-2021,2
id145,A,Y2P14,27,2020-2021,1
id146,A,Y2P03,2,2020-2021,2
id146,A,Y2P04,4,2020-2021,2
id146,A,Y2P05,1,2020-2021,2
id146,A,Y2P07,4,NA,0
id146,A,Y2P10,2,2020-2021,3
id146,A,Y2P11,1,2020-2021,2
id147,A,Y2P08,2,NA,0
id148,A,Y2P05,2,2020-2021,2
id148,A,Y2P08,1,NA,0
id149,A,Y2P03,12,2020-2021,2
id149,A,Y2P04,2,2020-2021,2
id149,A,Y2P05,2,2020-2021,2
id149,A,Y2P11,2,2020-2021,2
id149,A,Y2P12,4,NA,0
